제품명,가격,정격파워,메인보드 연결,가로(길이)
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,594930,550W,PCIe5.0x16,197mm
GIGABYTE 지포스 RTX 5060 Ti GAMING OC D7 8GB 제이씨현,688980,650W,PCIe5.0x16,281mm
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,608960,600W,PCIe5.0x16,262.1mm
PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1016900,650W,PCIe5.0x16,291.9mm
MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1097570,650W,PCIe5.0x16,338mm
PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,564910,550W,PCIe5.0x16,262.1mm
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,594930,550W,PCIe5.0x16,197mm
이엠텍 지포스 RTX 5060 MIRACLE WHITE D7 8GB,574500,550W,PCIe5.0x16,250mm
PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,2085000,850W,PCIe5.0x16,331.9mm
갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC D7 8GB,639970,600W,PCIe5.0x16,235mm
PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1016900,650W,PCIe5.0x16,291.9mm
XFX 라데온 RX 9070 XT SWIFT D6 16GB,1093620,800W,PCIe5.0x16,325mm
SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,701480,450W,PCIe5.0x16,240mm
갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC D7 8GB,639970,600W,PCIe5.0x16,235mm
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,608960,600W,PCIe5.0x16,262.1mm
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,594930,550W,PCIe5.0x16,197mm
ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,1525220,750W,PCIe5.0x16,329.7mm
PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,899000,600W,PCIe5.0x16,291.9mm
MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6298820,1000W,PCIe5.0x16,359mm
ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 8GB,609020,600W,PCIe5.0x16,220.5mm
MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1675930,750W,PCIe5.0x16,338mm
MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2337930,850W,PCIe5.0x16,357mm
MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 16GB,838820,600W,PCIe5.0x16,227mm
ZOTAC GAMING 지포스 RTX 5050 Twin Edge D6 8GB,430220,550W,PCIe5.0x16,220.5mm
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 대원씨티에스,344900,500W,N/A,269mm
GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC SFF D7 16GB 피씨디렉트,1509290,750W,PCIe5.0x16,304mm
SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1345000,750W,PCIe5.0x16,330.8mm
GIGABYTE 지포스 RTX 5060 Ti WINDFORCE MAX OC D7 8GB 피씨디렉트,591240,650W,PCIe5.0x16,208mm
ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,1018990,650W,PCIe5.0x16,304.4mm
PALIT 지포스 RTX 5070 Ti GAMINGPRO-S D7 16GB 이엠텍,1598960,750W,PCIe5.0x16,331.9mm
GIGABYTE AORUS 지포스 RTX 5080 MASTER ICE D7 16GB 피씨디렉트,2297800,850W,PCIe5.0x16,360mm
이엠텍 지포스 RTX 5080 MIRACLE WHITE D7 16GB,2195000,850W,PCIe5.0x16,348mm
GAINWARD 지포스 RTX 5060 고스트 D7 8GB,561190,550W,PCIe5.0x16,262.1mm
ASRock 라데온 RX 9060 CHALLENGER D6 8GB 대원씨티에스,468950,500W,PCIe5.0x16,249mm
PowerColor 라데온 RX 9070 XT Reaper D6 16GB 대원씨티에스,1070000,750W,PCIe5.0x16,289mm
SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB 붉은사막 에디션,1386000,750W,PCIe5.0x16,330.8mm
MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1097570,650W,PCIe5.0x16,338mm
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,594930,550W,PCIe5.0x16,197mm
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,608960,600W,PCIe5.0x16,262.1mm
GIGABYTE 지포스 RTX 5060 Ti GAMING OC D7 8GB 제이씨현,688980,650W,PCIe5.0x16,281mm
MSI 지포스 RTX 5070 게이밍 트리오 OC D7 12GB 트라이프로져4,1097570,650W,PCIe5.0x16,338mm
PALIT 지포스 RTX 5060 DUAL OC D7 8GB 이엠텍,564910,550W,PCIe5.0x16,262.1mm
MSI 지포스 RTX 5060 벤투스 2X OC D7 8GB,594930,550W,PCIe5.0x16,197mm
이엠텍 지포스 RTX 5060 MIRACLE WHITE D7 8GB,574500,550W,PCIe5.0x16,250mm
PALIT 지포스 RTX 5080 GAMINGPRO D7 16GB 이엠텍,2085000,850W,PCIe5.0x16,331.9mm
갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC D7 8GB,639970,600W,PCIe5.0x16,235mm
PALIT 지포스 RTX 5070 INFINITY 3 D7 12GB 이엠텍,1016900,650W,PCIe5.0x16,291.9mm
XFX 라데온 RX 9070 XT SWIFT D6 16GB,1093620,800W,PCIe5.0x16,325mm
SAPPHIRE 라데온 RX 9060 XT PULSE OC D6 16GB,701480,450W,PCIe5.0x16,240mm
갤럭시 GALAX 지포스 RTX 5060 Ti BLACK OC D7 8GB,639970,600W,PCIe5.0x16,235mm
PALIT 지포스 RTX 5060 Ti DUAL D7 8GB 이엠텍,608960,600W,PCIe5.0x16,262.1mm
갤럭시 GALAX 지포스 RTX 5060 BLACK OC V2 D7 8GB,587000,550W,PCIe5.0x16,225mm
ZOTAC GAMING 지포스 RTX 5070 Ti SOLID OC D7 16GB,1525220,750W,PCIe5.0x16,329.7mm
PALIT 지포스 RTX 5060 Ti INFINITY 3 D7 16GB 이엠텍,899000,600W,PCIe5.0x16,291.9mm
MSI 지포스 RTX 5090 슈프림 SOC D7 32GB 하이퍼프로져,6298820,1000W,PCIe5.0x16,359mm
ZOTAC GAMING 지포스 RTX 5060 Ti Twin Edge OC D7 8GB,609020,600W,PCIe5.0x16,220.5mm
MSI 지포스 RTX 5070 Ti 게이밍 트리오 OC D7 16GB 트라이프로져4,1675930,750W,PCIe5.0x16,338mm
MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2337930,850W,PCIe5.0x16,357mm
MSI 지포스 RTX 5060 Ti 벤투스 2X OC 플러스 D7 16GB,838820,600W,PCIe5.0x16,227mm
ZOTAC GAMING 지포스 RTX 5050 Twin Edge D6 8GB,430220,550W,PCIe5.0x16,220.5mm
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 대원씨티에스,344900,500W,N/A,269mm
GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC SFF D7 16GB 피씨디렉트,1509290,750W,PCIe5.0x16,304mm
SAPPHIRE 라데온 RX 9070 XT NITRO+ OC D6 16GB,1345000,750W,PCIe5.0x16,330.8mm
